model,fold,acc,prec,rec,f1,f1_weighted,auc,auc_pr,mcc,kappa,specificity,npv,brier,log_loss_val,inference_ms
Classical TabTransformer,6,0.6666666666666666,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.7723214285714286,0.7966862502576787,0.33035714285714285,0.3303571428571429,0.6874999999999571,0.6874999999999571,0.2004273806774808,0.5831405346769982,0.0
Classical TabTransformer,7,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8327721661054994,0.8616071428571429,0.8918123543123542,0.6651836553993731,0.6636771300448431,0.8749999999999454,0.8235294117646575,0.14079399538334605,0.46686421744951445,0.0
Classical TabTransformer,8,0.6896551724137931,0.6666666666666666,0.6153846153846154,0.64,0.6881504702194358,0.8701923076923077,0.8620456466610311,0.36894942775579326,0.3680387409200968,0.7499999999999533,0.705882352941135,0.1533523038551156,0.43069823992357387,0.0
Classical TabTransformer,9,0.9310344827586207,1.0,0.8461538461538461,0.9166666666666666,0.9301893171061528,0.9807692307692308,0.9819004524886876,0.8672581807839879,0.8585365853658536,0.9999999999999376,0.8888888888888395,0.07056775807929616,0.23898338876605604,0.0
Classical TabTransformer,10,0.8275862068965517,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.827998187286285,0.9471153846153846,0.9459984459984458,0.6555098957630032,0.6539379474940334,0.8124999999999493,0.8666666666666089,0.09514945723655206,0.29654236900096964,0.0
LightGBM,1,0.8666666666666667,0.7777777777777778,1.0,0.875,0.8654761904761905,0.9196428571428572,0.8698245207173778,0.7637626158259733,0.736842105263158,0.7499999999999533,0.9999999999999166,0.11425744944278689,0.4464350527520409,0.097203333325524
LightGBM,2,0.9333333333333333,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9333333333333333,0.9866071428571429,0.9846415489272631,0.8660714285714286,0.8660714285714286,0.9374999999999415,0.9374999999999415,0.041691188744475645,0.14064669675435137,0.052619999996750266
LightGBM,3,0.7666666666666667,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.7658810325476992,0.8705357142857143,0.8993954040946521,0.5303491306562569,0.5291479820627802,0.8124999999999493,0.7647058823528963,0.15793500285178005,0.5327095212077939,0.06017666666290704
LightGBM,4,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8,0.8616071428571428,0.8151224592401063,0.5982142857142857,0.5982142857142857,0.8124999999999493,0.8124999999999493,0.15688061735340997,0.5305440236330508,0.06742999999005406
LightGBM,5,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8,0.9151785714285714,0.9218658534448008,0.5982142857142857,0.5982142857142857,0.8124999999999493,0.8124999999999493,0.14378440133485024,0.437116034223551,0.05084999999477683
LightGBM,6,0.7,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6989898989898989,0.7857142857142857,0.700959295241356,0.39551460591314075,0.3946188340807175,0.7499999999999533,0.705882352941135,0.23929639733733232,0.8654746562671697,0.05365333333126424
