model,fold,acc,prec,rec,f1,f1_weighted,auc,auc_pr,mcc,kappa,specificity,npv,brier,log_loss_val,inference_ms
Classical TabTransformer,2,0.8089622641509434,0.33962264150943394,0.28125,0.3076923076923077,0.8014192141905534,0.6897135416666667,0.3108254854452457,0.19920476822239894,0.19801980198019797,0.9027777777777752,0.8760107816711566,0.14827152171619068,0.46337503005326375,0.0
Classical TabTransformer,3,0.8301886792452831,0.3,0.09375,0.14285714285714285,0.7906041405004164,0.6679253472222222,0.2553702600142935,0.09264034338948843,0.0764762826718296,0.9611111111111084,0.8564356435643543,0.13817598089908004,0.4391458270552216,0.0
Classical TabTransformer,4,0.7570754716981132,0.3069306930693069,0.484375,0.37575757575757573,0.7777325173054338,0.6866319444444444,0.344271047844606,0.24365384940472437,0.2342544536400617,0.8055555555555532,0.8978328173374585,0.16619319279668343,0.5039798572964239,0.0
Classical TabTransformer,5,0.7806603773584906,0.2898550724637681,0.3125,0.3007518796992481,0.7840163808386252,0.6405381944444445,0.27167605551431157,0.171069954552695,0.17089991589571074,0.8638888888888865,0.8760563380281665,0.15746795205281566,0.4849442784028798,0.0
Classical TabTransformer,6,0.8231132075471698,0.37777777777777777,0.265625,0.3119266055045872,0.8099703855731386,0.6971788194444445,0.2868510407296387,0.21833338741669558,0.21396084635159185,0.9222222222222196,0.8759894459102878,0.13788518776493064,0.4360166880610481,0.0
Classical TabTransformer,7,0.8183962264150944,0.35,0.2153846153846154,0.26666666666666666,0.7998319747411903,0.738675808870795,0.3368058469671883,0.17620836906723134,0.16968463886063068,0.9275766016713065,0.8671874999999977,0.1329913065494081,0.42725258297810986,0.0
Classical TabTransformer,8,0.8042452830188679,0.3269230769230769,0.26153846153846155,0.2905982905982906,0.7951106579826608,0.7355474608956505,0.3325292117205446,0.18017514686524858,0.1786781179985064,0.9025069637882983,0.8709677419354814,0.13829450787261655,0.43317377106657223,0.0
Classical TabTransformer,9,0.785377358490566,0.30303030303030304,0.3076923076923077,0.3053435114503817,0.7860468617639833,0.6356974501821298,0.3098353691019392,0.1784418179975104,0.17843454560940297,0.8718662952646214,0.8743016759776512,0.16155034177768832,0.4993832579783771,0.0
Classical TabTransformer,10,0.7948113207547169,0.328125,0.3230769230769231,0.32558139534883723,0.7941587061157658,0.696593100492822,0.2990629195354453,0.20459713143507782,0.20458858030015525,0.8802228412256242,0.8777777777777753,0.14456261470801104,0.448272313218721,0.0
LightGBM,1,0.8254716981132075,0.3611111111111111,0.203125,0.26,0.8043043083442639,0.6888888888888889,0.2885339021081622,0.17882408397655705,0.1697713801862828,0.9361111111111085,0.8685567010309255,0.13158203280299136,0.420690677965488,0.01046179245392677
LightGBM,2,0.7995283018867925,0.2558139534883721,0.171875,0.205607476635514,0.7826965376084162,0.687717013888889,0.26222440223959037,0.09841242533130087,0.09592614890628137,0.9111111111111085,0.8608923884514412,0.13703429190527838,0.43323584083271366,0.008076886791419588
LightGBM,3,0.7995283018867925,0.2558139534883721,0.171875,0.205607476635514,0.7826965376084162,0.6323350694444445,0.22999675757555407,0.09841242533130087,0.09592614890628137,0.9111111111111085,0.8608923884514412,0.14640626985793379,0.4589159929390883,0.008619811320334882
LightGBM,4,0.8018867924528302,0.3076923076923077,0.25,0.27586206896551724,0.7932634363300872,0.6530381944444444,0.2782842935802669,0.16370402390952013,0.16252821670428896,0.8999999999999975,0.8709677419354814,0.14319392112908136,0.45097217115800114,0.00657099056572303
LightGBM,5,0.8207547169811321,0.35,0.21875,0.2692307692307692,0.8029636218924106,0.6141059027777778,0.3097138053501533,0.17945914434973978,0.17323481116584571,0.9277777777777751,0.8697916666666643,0.13776398627711922,0.4513957022818615,0.00790070754741258
