model,fold,acc,prec,rec,f1,f1_weighted,auc,auc_pr,mcc,kappa,specificity,npv,brier,log_loss_val,inference_ms
Classical TabTransformer,10,0.6973684210526315,0.56,0.5384615384615384,0.5490196078431373,0.6958996209218445,0.78,0.6587815127411275,0.3215685538755756,0.3214285714285714,0.7799999999999844,0.7647058823529261,0.19066539274146185,0.5513858630342676,0.0
LightGBM,1,0.7272727272727273,0.5882352941176471,0.7407407407407407,0.6557377049180327,0.7326570837940484,0.84,0.744388596343287,0.4427410738901448,0.43481300244669696,0.7199999999999855,0.8372093023255619,0.17510970432475545,0.5142843518247077,0.04585584416158132
LightGBM,2,0.7922077922077922,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7922077922077922,0.84,0.6641782065472941,0.5437037037037037,0.5437037037037037,0.8399999999999832,0.8399999999999832,0.1581411408521147,0.5361986374335178,0.03651038960842098
LightGBM,3,0.7142857142857143,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.7142857142857143,0.7725925925925926,0.6763514459347337,0.3725925925925926,0.3725925925925926,0.7799999999999844,0.7799999999999844,0.1972513207741592,0.6405871016495852,0.02892727273071862
LightGBM,4,0.8311688311688312,0.75,0.7777777777777778,0.7636363636363637,0.8318509773055228,0.8681481481481482,0.7877431455774826,0.6326437348445768,0.6323907455012854,0.8599999999999828,0.8775510204081454,0.13695846663233618,0.437806668039235,0.03774935064395865
LightGBM,5,0.8051948051948052,0.7,0.7777777777777778,0.7368421052631579,0.8073088062236191,0.8607407407407407,0.7817460880739027,0.5849208388379199,0.5828819068255688,0.8199999999999835,0.8723404255318963,0.14507463312819682,0.4670137801853998,0.02839740260572977
LightGBM,6,0.7532467532467533,0.625,0.7407407407407407,0.6779661016949152,0.7572088928021131,0.8525925925925926,0.6782315159796618,0.4848401374141137,0.4802841918294849,0.7599999999999848,0.8444444444444257,0.16508675743659162,0.5180447240936591,0.03622077922234705
LightGBM,7,0.7532467532467533,0.6428571428571429,0.6666666666666666,0.6545454545454545,0.7542437360619179,0.797037037037037,0.5909780140380578,0.4629100498862757,0.46272493573264784,0.799999999999984,0.8163265306122282,0.1818883668614756,0.5887770040276207,0.030602597406242864
LightGBM,8,0.7532467532467533,0.625,0.7407407407407407,0.6779661016949152,0.7572088928021131,0.8037037037037037,0.6929119966200494,0.4848401374141137,0.4802841918294849,0.7599999999999848,0.8444444444444257,0.18649873351053592,0.6200804954750854,0.032892207796126
LightGBM,9,0.7368421052631579,0.59375,0.7307692307692307,0.6551724137931034,0.7420550642931614,0.8207692307692308,0.7362514788464173,0.4523539829316482,0.44606413994169103,0.7399999999999852,0.8409090909090717,0.17922039739215942,0.5317400063650153,0.030948684214213006
LightGBM,10,0.6710526315789473,0.5217391304347826,0.46153846153846156,0.4897959183673469,0.6657733098349202,0.7215384615384616,0.5695637255247952,0.24943426871176771,0.24841772151898733,0.7799999999999844,0.7358490566037597,0.2372030150916328,0.7439188938246639,0.033140789475127296
MLP,1,0.6753246753246753,0.5277777777777778,0.7037037037037037,0.6031746031746031,0.682460396746111,0.8340740740740742,0.7676692919329842,0.3478335179045545,0.33780529755761957,0.6599999999999868,0.8048780487804681,0.16649513592085505,0.4869761532579844,0.0029558441501531096
MLP,2,0.7792207792207793,0.6666666666666666,0.7407407407407407,0.7017543859649122,0.7816166470534348,0.8407407407407408,0.7039513192139022,0.5291105481433476,0.527266161068978,0.799999999999984,0.851063829787216,0.15962289917234954,0.4814397975258465,0.002901298705489955
MLP,3,0.7532467532467533,0.625,0.7407407407407407,0.6779661016949152,0.7572088928021131,0.8192592592592592,0.695300123299511,0.4848401374141137,0.4802841918294849,0.7599999999999848,0.8444444444444257,0.1661587008308947,0.5218176689984627,0.003118181820201397
MLP,4,0.8701298701298701,0.8695652173913043,0.7407407407407407,0.8,0.8674325674325676,0.922962962962963,0.8867573975444074,0.709721283401673,0.7047546012269938,0.9399999999999812,0.8703703703703543,0.10350095649745078,0.3283733284493369,0.0024948051865870294
MLP,5,0.8181818181818182,0.7096774193548387,0.8148148148148148,0.7586206896551724,0.8206635318704283,0.8362962962962963,0.7540071331193066,0.6176666813419998,0.6138968481375359,0.8199999999999835,0.8913043478260675,0.15675315726018285,0.4856416332192167,0.002971428578100379
MLP,6,0.7792207792207793,0.6666666666666666,0.7407407407407407,0.7017543859649122,0.7816166470534348,0.8644444444444445,0.7575640097866054,0.5291105481433476,0.527266161068978,0.799999999999984,0.851063829787216,0.15311194997113642,0.4613624475726267,0.0038064935052988134
MLP,7,0.7402597402597403,0.64,0.5925925925925926,0.6153846153846154,0.7378112083994437,0.8385185185185186,0.7255310305554463,0.4204522053456932,0.4197437829691032,0.8199999999999835,0.7884615384615232,0.15373741823532047,0.46836126374451825,0.0029831168842963064
MLP,8,0.7922077922077922,0.6571428571428571,0.8518518518518519,0.7419354838709677,0.7965792972805595,0.8674074074074074,0.8164651436152601,0.5863467140999449,0.5728155339805825,0.7599999999999848,0.9047619047618832,0.14787375126465568,0.443746504512679,0.002387012984825135
MLP,9,0.7631578947368421,0.6,0.9230769230769231,0.7272727272727273,0.7689996661844888,0.87,0.7858372975023167,0.5730112392805924,0.5340599455040871,0.6799999999999864,0.9444444444444181,0.17313175843137318,0.5122463786732948,0.0024973684216284277
MLP,10,0.6973684210526315,0.5555555555555556,0.5769230769230769,0.5660377358490566,0.6986949936304455,0.7769230769230769,0.5950913213753892,0.3339815779363246,0.33384146341463417,0.7599999999999848,0.7755102040816167,0.19180862464722132,0.5739872277404462,0.0030828947441669265
Hybrid Quantum Transformer,1,0.7532467532467533,0.6111111111111112,0.8148148148148148,0.6984126984126984,0.7586699015270445,0.8066666666666666,0.6047095558443664,0.5114782075908113,0.49673202614379086,0.7199999999999855,0.8780487804877835,0.17215801514445186,0.5141037582405233,0.7212428571466415
Hybrid Quantum Transformer,2,0.8181818181818182,0.7096774193548387,0.8148148148148148,0.7586206896551724,0.8206635318704283,0.8525925925925926,0.699166025923244,0.6176666813419998,0.6138968481375359,0.8199999999999835,0.8913043478260675,0.15070484507874268,0.46717070803250316,0.6984974025998509
Hybrid Quantum Transformer,3,0.6753246753246753,0.53125,0.6296296296296297,0.576271186440678,0.6805380168448857,0.7518518518518519,0.5839352108492658,0.31916251649301863,0.31616341030195383,0.699999999999986,0.7777777777777605,0.19166788063149412,0.5648629194837265,0.7801519480487408
Hybrid Quantum Transformer,4,0.8051948051948052,0.75,0.6666666666666666,0.7058823529411765,0.8023022094980975,0.9103703703703704,0.8625445013595971,0.563178312189625,0.5610034207525656,0.8799999999999824,0.8301886792452673,0.12039766618686071,0.37142739929409274,0.7481064935096323
Hybrid Quantum Transformer,5,0.7532467532467533,0.6538461538461539,0.6296296296296297,0.6415094339622641,0.7521404431548276,0.8133333333333334,0.7326429459159023,0.4536804288397352,0.4534927157265596,0.8199999999999835,0.8039215686274351,0.1642079970190504,0.49751332737888543,0.7716012986948753
Hybrid Quantum Transformer,6,0.7272727272727273,0.6153846153846154,0.5925925925925926,0.6037735849056604,0.7260499634869146,0.7874074074074073,0.7167708761570966,0.3961295342422729,0.3959656331714606,0.799999999999984,0.7843137254901806,0.1776294010433907,0.53054038806901,0.7689038961103365
Hybrid Quantum Transformer,7,0.7922077922077922,0.6774193548387096,0.7777777777777778,0.7241379310344828,0.7950440364233468,0.8629629629629629,0.7742883131263347,0.5621703750837337,0.5587392550143266,0.799999999999984,0.8695652173912854,0.1427571830783513,0.43212174806910986,0.7896454545433782
Hybrid Quantum Transformer,8,0.7532467532467533,0.6176470588235294,0.7777777777777778,0.6885245901639344,0.7581183139089008,0.854074074074074,0.7747053819505207,0.4975498563492141,0.4886403355470116,0.7399999999999852,0.8604651162790498,0.15102288548139195,0.45575907065254206,0.7591714285761602
Hybrid Quantum Transformer,9,0.7105263157894737,0.5555555555555556,0.7692307692307693,0.6451612903225806,0.7177890963969062,0.79,0.7041980480204353,0.4268349027294209,0.4112676056338028,0.6799999999999864,0.8499999999999787,0.19123219904451838,0.556883832689583,0.7841210526270228
Hybrid Quantum Transformer,10,0.631578947368421,0.4666666666666667,0.5384615384615384,0.5,0.6370614035087719,0.7030769230769232,0.5536460249114127,0.21203478816820132,0.21068249258160232,0.6799999999999864,0.7391304347825925,0.22387543476230884,0.6411878892350741,0.8008921052614345
